"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"Q2",100013024,1987-03-10,911,NA,21,7.58,87.6,7.5,204,NA,7.71,0.74,2.81,5.09,7,NA,0.53,8.27,NA,NA,30,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.5
"Q2",100013025,1987-03-18,1126,NA,21,7.52,73.6,7.3,212,NA,7.4,0.96,2.58,5.15,6,NA,0.42,10.76,NA,NA,29.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.4
"Q2",100013026,1987-03-24,928,NA,22,7.52,87.2,7.6,293,NA,6.3,1.02,2.07,4.19,8,NA,0.58,NA,NA,NA,18.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",16.8
"Q2",100013027,1987-03-31,1011,NA,21,7.6,85.4,7.9,211,NA,7.58,0.9,2.53,5.15,9,NA,0.73,9.27,NA,NA,30.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.15
"Q2",100013028,1987-04-07,930,NA,22,7.66,89.2,7.7,211,NA,7.74,0.93,2.8,5.22,11,NA,0.88,10.01,NA,NA,31.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.8
"Q2",100013029,1987-04-14,1012,NA,22,7.31,60.6,7.7,292,NA,5.14,1.08,1.55,3.88,15,NA,3.39,4.58,NA,NA,31.9,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",13.21
"Q2",100013030,1987-04-21,1035,NA,23,7.34,87.4,7.7,257,NA,7.44,0.97,2.6,5.08,9,NA,1.17,10.27,NA,NA,30.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.85
"Q2",100013031,1987-04-28,950,0.1,23,7.61,88.6,7.7,244,NA,7.66,0.92,2.65,4.98,21,NA,1.09,9.81,NA,NA,31.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",6.05
"Q2",100013032,1987-05-05,946,0.14,23,7.55,90.1,6.8,232,NA,7.74,0.86,2.5,5.63,7,NA,0.71,9.47,NA,NA,31.9,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2.82
"Q2",100013033,1987-05-12,1013,0.12,23,7.26,69.9,7.1,NA,NA,6.04,0.94,1.99,4.17,96,NA,2.49,4.3,NA,NA,23.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",23.1
"Q2",100013034,1987-05-19,1019,0.18,23,7.24,62.2,6.5,NA,NA,3.54,1,1.75,3.64,91,NA,2.03,4.52,NA,NA,22.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",10.15
"Q2",100013035,1987-05-26,1100,0.2,23,7.38,77.6,7.4,372,NA,6.45,0.91,2.24,4.39,92,NA,0.89,6.12,NA,NA,27.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",5.09
"Q2",100013036,1987-06-02,1020,0.18,23,7.51,88.4,7.7,246,NA,7.36,0.88,2.59,5,82,NA,0.59,7.24,NA,NA,30.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",4.65
"Q2",100013037,1987-06-09,1158,0.14,23,7.19,86,7.3,132,NA,7.48,0.82,2.65,4.99,95,NA,0.35,7.41,NA,NA,31.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3.6
