"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"MG",20808000,1998-03-03,NA,NA,NA,NA,NA,10.58,79,1.4,9.83,0.52,3.85,6.74,NA,NA,0.73,NA,0.11,NA,28.38,0.03,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",NA
"MG",20815000,1998-03-10,NA,NA,NA,NA,NA,NA,213,NA,NA,NA,NA,10.9,8,NA,1.04,NA,0.31,NA,22.38,0.08,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",20828000,1998-03-17,NA,NA,NA,NA,NA,10.79,119,1.62,9.2,NA,NA,NA,NA,NA,0.95,NA,0.2,NA,24.01,0.08,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",NA
"MG",20844000,1998-03-24,NA,NA,NA,NA,NA,11.23,107,1.5,8.41,NA,NA,NA,7,NA,1.28,NA,0.22,NA,22.03,0.11,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",20834000,1998-03-31,NA,NA,NA,NA,NA,NA,162,NA,6.37,NA,NA,NA,13,NA,2.22,NA,0.36,NA,16.04,0.18,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",20766000,1998-04-07,NA,NA,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,81,20,1.02,NA,0.21,NA,25.12,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","BDL",NA
"MG",20769000,1998-04-14,NA,NA,NA,NA,NA,NA,137,2.07,15.74,1.09,3.92,8.87,8,5,1.61,NA,0.18,NA,20.87,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",20779000,1998-04-21,NA,NA,NA,NA,NA,NA,166,1.78,14.47,0.81,3.94,8.09,11,6,1.42,NA,0.27,NA,18.08,0.09,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MG",20790000,1998-04-28,NA,NA,NA,NA,NA,9.91,96,1.26,7.95,0.49,2.66,6.54,5,NA,1.19,NA,0.17,NA,23.13,0.07,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MG",20686000,1998-05-05,NA,NA,NA,NA,NA,8.07,104,1.1,6.47,0.58,2.18,6.4,NA,NA,2,NA,0.17,NA,17.97,0.06,"NA","NA","NA","NA","NA","NA","NA","BDL","BDL","NA","NA","NA","NA","NA",NA
