"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"MPR",2384,1989-12-05,1008,0.7,NA,7.316,108,8.02,10,1.01,6.04,0.84,2.58,10.72,NA,NA,NA,NA,NA,NA,32.99,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",3.43
"MPR",2395,1989-12-12,1132,0.58,NA,7.03,85,7.03,6,0.37,5.66,0.44,3.62,4.12,NA,NA,NA,NA,NA,NA,22.4,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MPR",2423,1989-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MPR",2434,1989-12-26,1005,0.58,NA,7.36,97.2,NA,179,NA,6.24,0.81,2.69,11.82,NA,NA,NA,NA,NA,NA,11.96,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MPR",2445,1990-01-02,1037,1.79,NA,6.88,110.6,NA,NA,0.68,5.75,1.74,1.8,6.25,NA,NA,NA,NA,NA,NA,12.83,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MPR",2456,1990-01-09,1021,0.7,NA,7.41,91.1,NA,113,NA,6.47,1.01,2.52,10.82,NA,NA,NA,NA,NA,NA,34.29,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MPR",2482,1990-01-16,1016,1.18,NA,7.1,88,NA,99,0.9,5.65,1,2.35,10.72,NA,NA,NA,NA,0.53,NA,12.14,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MPR",2496,1990-01-23,957,1.76,NA,7.23,78.2,8.02,24,0.58,5.85,1.04,2.14,8.7,NA,NA,NA,NA,0.44,NA,11.66,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",72.01
"MPR",2508,1990-01-30,1011,1.28,NA,7.28,82.7,7.71,335,0.7,5.89,0.98,2.11,9.27,NA,NA,NA,NA,0.47,NA,17.19,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MPR",2539,1990-02-06,1023,NA,NA,7.46,138.5,NA,215,0.72,7.52,1.04,2.33,10.95,NA,NA,NA,NA,0.49,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"MPR",2550,1990-02-13,959,NA,NA,7.07,108.1,11.74,308,0.7,6.76,1.18,2.35,9.39,NA,NA,NA,NA,0.52,NA,11.45,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
"MPR",2564,1990-02-20,1031,NA,NA,7.24,84.2,14.03,32,0.36,6.75,1.18,2.2,9.05,NA,NA,NA,NA,0.07,NA,12.54,NA,"NA","NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA",NA
