"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"Q1",100012001,1986-05-20,NA,NA,NA,7.35,90.1,8.2,118,1.75,7.81,0.81,3.04,4.26,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"Q1",100012002,1986-05-27,NA,NA,NA,7.48,85.4,NA,109,1.74,8,0.82,3.13,3.17,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"Q1",100012003,1986-06-03,NA,NA,NA,7.36,85.4,NA,114,NA,7.95,0.82,3.15,4.38,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"Q1",100012004,1986-10-21,1302,NA,24,7.39,88.5,8.7,124,NA,8.39,0.65,2.73,4.91,10,NA,0.3,6.52,NA,NA,35.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA
"Q1",100012005,1986-10-28,1124,NA,23,7.34,91.4,8.5,NA,NA,8.55,0.62,2.86,4.6,40,NA,0.44,8.1,NA,NA,35.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",21.7
"Q1",100012006,1986-11-04,1150,NA,23,7.45,87.7,8.5,NA,NA,8.7,0.64,2.8,4.45,10,NA,0.24,4.88,NA,NA,35.1,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",27
"Q1",100012007,1986-11-10,1030,NA,22,7.36,74.8,7.8,103,NA,7.12,0.69,2.4,3.93,47,NA,1.37,6.21,NA,NA,29.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",36.3
"Q1",100012008,1986-11-18,859,NA,22,7.36,83,8.5,153,NA,8.33,0.68,2.66,3.95,20,NA,NA,8.23,NA,NA,33.5,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",17.1
"Q1",100012009,1986-11-25,840,NA,22,7.15,43.9,6.4,264,NA,4.33,0.77,1.19,2.11,NA,NA,5.77,3.18,NA,NA,12.3,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",225.3
"Q1",100012010,1986-12-02,925,NA,22,7.25,80.5,8.4,158,NA,7.94,0.66,2.43,3.95,16,NA,0.52,7.59,NA,NA,31.8,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",20
