"Sample_ID","Code","Sample_Date","Sample_Time","Gage_Ht","Temp","pH","Cond","Cl","NO3-N","SO4-S","Na","K","Mg","Ca","NH4-N","PO4-P","DOC","DIC","TDN","TDP","SiO2","DON","ChlorideCode","NitrateCode","SulfateCode","SodiumCode","PotassiumCode","MagnesiumCode","CalciumCode","NH4Code","PO4Code","DOCCode","DICCode","TDNCode","SiO2Code","DONCode","TSS"
"QP",20959,2000-02-29,1033,1.3,19,7.44,88.9,8.21,90,0.46,6.23,0.36,3,4.27,NA,7,0.79,NA,0.19,NA,20.69,0.09,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",7.75
"QP",20978,2000-03-07,910,1.25,19,7.25,86.4,8.41,92,0.45,6.8,0.35,3.49,4.87,NA,7,0.59,NA,0.15,NA,21.31,0.05,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",6.7
"QP",20984,2000-03-14,925,1.25,19,7.13,85.9,8.59,90,0.47,7.05,0.32,3.65,4.48,NA,7,0.67,NA,0.13,NA,22.58,0.03,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",8.09
"QP",20990,2000-03-21,836,1.26,19.5,7.24,90.5,9.08,88,0.51,7.13,NA,3.79,5.04,NA,7,1.01,NA,0.15,NA,22.25,0.06,"NA","NA","NA","NA","BDL","NA","NA","BDL","NA","NA","NA","NA","NA","NA",7.73
"QP",21032,2000-03-28,910,1.22,18,7.52,94.2,NA,NA,0.79,NA,0.33,NA,5.54,NA,7,0.7,NA,0.12,NA,24,NA,"NA","NA","NA","NA","NA","NA","NA","BDL","NA","NA","NA","NA","NA","NA",6.8
"QP",21008,2000-04-04,1000,1.21,18,7.58,93,8.96,81,0.49,7.37,0.34,4.01,4.96,7,9,0.75,NA,0.13,NA,24.38,0.04,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",8.28
"QP",21014,2000-04-11,851,1.2,19,7.56,97.4,8.76,71,0.49,7.52,0.39,4.08,5.14,5,8,0.8,NA,0.12,NA,21.61,0.05,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.8
"QP",21020,2000-04-18,900,1.22,18.5,7.5,87.8,8.94,69,0.55,6.88,0.42,3.58,4.3,6,6,1,NA,0.14,NA,20.2,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",9.89
"QP",21026,2000-04-25,840,1.21,19.8,7.48,97.8,9.21,61,0.55,7.6,0.28,4.07,5.26,6,7,1.04,NA,0.13,NA,23.6,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.92
"QP",21038,2000-05-02,910,1.2,19,7.58,96.8,8.09,54,0.46,7.12,0.41,4.05,4.98,7,9,0.84,NA,0.12,NA,23.56,0.06,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.71
"QP",21044,2000-05-09,945,1.21,19,7.58,97.3,8.39,117,0.5,6.87,0.35,4.31,4.6,10,8,0.84,NA,0.22,NA,24.8,0.1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",13.7
